source name	characteristics[Row]	characteristics[Column]	characteristics[Sample]	characteristics[Source Vial]	characteristics[Position]	characteristics[Inj Vol]	characteristics[Instrument Method]	characteristics[Path]	characteristics[File Name]	characteristics[organism]	characteristics[organism part]	characteristics[plate]	characteristics[project]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ProteomeEdge]	factor value[Sample]
PRM_20260227_Project ALS _Plate1_A1	A	1	ALS_samples	1	RA1	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A1	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 1	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A1.raw	PRM_20260227_Project ALS _Plate1_A1.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A2	A	2	Control	2	RA2	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A2	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 2	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A2.raw	PRM_20260227_Project ALS _Plate1_A2.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	Control
PRM_20260227_Project ALS _Plate1_A3	A	3	ALS_samples	3	RA3	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A3	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 3	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A3.raw	PRM_20260227_Project ALS _Plate1_A3.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A4	A	4	Control	4	RA4	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A4	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 4	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A4.raw	PRM_20260227_Project ALS _Plate1_A4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	Control
PRM_20260227_Project ALS _Plate1_A5	A	5	ALS_samples	5	RA5	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A5	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 5	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A5.raw	PRM_20260227_Project ALS _Plate1_A5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A6	A	6	ALS_samples	6	RA6	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A6	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 6	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A6.raw	PRM_20260227_Project ALS _Plate1_A6.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A7	A	7	ALS_samples	7	RA7	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A7	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 7	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A7.raw	PRM_20260227_Project ALS _Plate1_A7.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A8	A	8	ALS_samples	8	RA8	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A8	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 8	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A8.raw	PRM_20260227_Project ALS _Plate1_A8.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A9	A	9	ALS_samples	9	RA9	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A9	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 9	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A9.raw	PRM_20260227_Project ALS _Plate1_A9.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
PRM_20260227_Project ALS _Plate1_A10	A	10	ALS_samples	10	RA10	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20260227_Project ALS _Plate1_A10	Homo sapiens	blood plasma	Plate1	Project_ALS	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 10	proteomic profiling by mass spectrometry	PRM_20260227_Project ALS _Plate1_A10.raw	PRM_20260227_Project ALS _Plate1_A10.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	24005	ALS_samples
