source name	characteristics[Row]	characteristics[Column]	characteristics[Sample]	characteristics[Source Vial]	characteristics[Position]	characteristics[Inj Vol]	characteristics[Instrument Method]	characteristics[Path]	characteristics[File Name]	characteristics[organism]	characteristics[organism part]	characteristics[plate]	characteristics[project]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	Material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[Row]
PRM_20251128_MarthaReselection_Plate_1_A1	A	1	MRTH	1	RA1	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A1	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 1	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A1.RAW	PRM_20251128_MarthaReselection_Plate_1_A1.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A2	A	2	MRTH	2	RA2	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A2	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 2	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A2.RAW	PRM_20251128_MarthaReselection_Plate_1_A2.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A3	A	3	MRTH	3	RA3	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A3	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 3	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A3.RAW	PRM_20251128_MarthaReselection_Plate_1_A3.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A4	A	4	MRTH	4	RA4	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A4	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 4	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A4.RAW	PRM_20251128_MarthaReselection_Plate_1_A4.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A5	A	5	MRTH	5	RA5	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A5	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 5	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A5.RAW	PRM_20251128_MarthaReselection_Plate_1_A5.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A6	A	6	MRTH	6	RA6	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A6	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 6	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A6.RAW	PRM_20251128_MarthaReselection_Plate_1_A6.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A7	A	7	MRTH	7	RA7	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A7	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 7	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A7.RAW	PRM_20251128_MarthaReselection_Plate_1_A7.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A8	A	8	MRTH	8	RA8	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A8	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 8	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A8.RAW	PRM_20251128_MarthaReselection_Plate_1_A8.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A9	A	9	MRTH	9	RA9	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A9	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 9	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A9.RAW	PRM_20251128_MarthaReselection_Plate_1_A9.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
PRM_20251128_MarthaReselection_Plate_1_A10	A	10	MRTH	10	RA10	0.1	C:\Xcalibur\methods\method1	C:\data\yourdir	PRM_20251128_MarthaReselection_Plate_1_A10	Homo sapiens	Plasma	Plate_1	MarthaReselection	not available	not available	not available	not available	not available	not available	not available	not available	1	AC=EFO:0009656;NT=plasma	run 10	proteomics profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_A10.RAW	PRM_20251128_MarthaReselection_Plate_1_A10.RAW	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	A
