source name	characteristics[Row]	characteristics[Column]	characteristics[Sample]	characteristics[Source Vial]	characteristics[Position]	characteristics[Inj Vol]	characteristics[Instrument Method]	characteristics[Path]	characteristics[File Name]	characteristics[organism]	characteristics[organism part]	characteristics[plate]	characteristics[project]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[96w_pos]	characteristics[96w_plate_coordinate]	characteristics[LIMS_ID]	characteristics[individual]	characteristics[biological replicate]	Material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[Sample]
PRM_20251128_MarthaReselection_Plate_1_B2	B	2	Pool	14	RB2	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_1_B2	Homo sapiens	blood plasma	Plate_1	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	10	Plate_1_B2	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 1	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_B2.raw	PRM_20251128_MarthaReselection_Plate_1_B2.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_1_D10	D	10	Pool	46	RD10	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_1_D10	Homo sapiens	blood plasma	Plate_1	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	76	Plate_1_D10	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 2	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_D10.raw	PRM_20251128_MarthaReselection_Plate_1_D10.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_1_F12	F	12	Pool	72	RF12	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_1_F12	Homo sapiens	blood plasma	Plate_1	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	94	Plate_1_F12	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 3	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_F12.raw	PRM_20251128_MarthaReselection_Plate_1_F12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_1_G12	G	12	Pool	84	RG12	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_1_G12	Homo sapiens	blood plasma	Plate_1	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	95	Plate_1_G12	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 4	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_G12.raw	PRM_20251128_MarthaReselection_Plate_1_G12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_1_H12	H	12	Pool	96	RH12	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_1_H12	Homo sapiens	blood plasma	Plate_1	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	96	Plate_1_H12	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 5	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_1_H12.raw	PRM_20251128_MarthaReselection_Plate_1_H12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_2_C2	C	2	Pool	26	RC2	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_2_C2	Homo sapiens	blood plasma	Plate_2	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	11	Plate_2_C2	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 6	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_2_C2.raw	PRM_20251128_MarthaReselection_Plate_2_C2.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_2_E10	E	10	Pool	58	RE10	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_2_E10	Homo sapiens	blood plasma	Plate_2	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	77	Plate_2_E10	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 7	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_2_E10.raw	PRM_20251128_MarthaReselection_Plate_2_E10.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_2_F12	F	12	Pool	72	RF12	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_2_F12	Homo sapiens	blood plasma	Plate_2	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	94	Plate_2_F12	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 8	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_2_F12.raw	PRM_20251128_MarthaReselection_Plate_2_F12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_2_G12	G	12	Pool	84	RG12	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_2_G12	Homo sapiens	blood plasma	Plate_2	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	95	Plate_2_G12	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 9	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_2_G12.raw	PRM_20251128_MarthaReselection_Plate_2_G12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
PRM_20251128_MarthaReselection_Plate_2_H12	H	12	Pool	96	RH12	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/01_hot/Martha/RAW	PRM_20251128_MarthaReselection_Plate_2_H12	Homo sapiens	blood plasma	Plate_2	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	96	Plate_2_H12	EMPTY-0001	not available	1	AC=EFO:0009656;NT=plasma	run 10	proteomic profiling by mass spectrometry	PRM_20251128_MarthaReselection_Plate_2_H12.raw	PRM_20251128_MarthaReselection_Plate_2_H12.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	Pool
