source name	characteristics[Row]	characteristics[Column]	characteristics[Sample]	characteristics[Source Vial]	characteristics[Position]	characteristics[Inj Vol]	characteristics[Instrument Method]	characteristics[Path]	characteristics[File Name]	characteristics[organism]	characteristics[organism part]	characteristics[plate]	characteristics[project]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[disease]	characteristics[96w_pos]	characteristics[96w_plate_coordinate]	characteristics[LIMS_ID]	characteristics[individual]	characteristics[biological replicate]	Material type	assay name	technology type	comment[data file]	comment[file uri]	comment[proteomics data acquisition method]	comment[label]	comment[fraction identifier]	comment[fractionation method]	comment[technical replicate]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[Sample]
PRM_20251218_MarthaReselection_Plate_9_A4	A	4	CHAPS	4	RA4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_A4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	25	Plate_9_A4	MIF_3-0095	not available	1	AC=EFO:0009656;NT=plasma	run 1	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_A4.raw	PRM_20251218_MarthaReselection_Plate_9_A4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_B4	B	4	CHAPS	16	RB4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_B4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	26	Plate_9_B4	MIF_3-0096	not available	1	AC=EFO:0009656;NT=plasma	run 2	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_B4.raw	PRM_20251218_MarthaReselection_Plate_9_B4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_C4	C	4	CHAPS	28	RC4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_C4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	27	Plate_9_C4	MIF_3-0097	not available	1	AC=EFO:0009656;NT=plasma	run 3	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_C4.raw	PRM_20251218_MarthaReselection_Plate_9_C4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_D4	D	4	CHAPS	40	RD4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_D4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	28	Plate_9_D4	MIF_3-0098	not available	1	AC=EFO:0009656;NT=plasma	run 4	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_D4.raw	PRM_20251218_MarthaReselection_Plate_9_D4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_E4	E	4	CHAPS	52	RE4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_E4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	29	Plate_9_E4	MIF_3-0099	not available	1	AC=EFO:0009656;NT=plasma	run 5	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_E4.raw	PRM_20251218_MarthaReselection_Plate_9_E4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_F4	F	4	CHAPS	64	RF4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_F4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	30	Plate_9_F4	MIF_3-0100	not available	1	AC=EFO:0009656;NT=plasma	run 6	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_F4.raw	PRM_20251218_MarthaReselection_Plate_9_F4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_G4	G	4	CHAPS	76	RG4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_G4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	31	Plate_9_G4	MIF_3-0101	not available	1	AC=EFO:0009656;NT=plasma	run 7	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_G4.raw	PRM_20251218_MarthaReselection_Plate_9_G4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_H4	H	4	CHAPS	88	RH4	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_H4	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	32	Plate_9_H4	MIF_3-0102	not available	1	AC=EFO:0009656;NT=plasma	run 8	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_H4.raw	PRM_20251218_MarthaReselection_Plate_9_H4.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_A5	A	5	CHAPS	5	RA5	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_A5	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	33	Plate_9_A5	MIF_3-0103	not available	1	AC=EFO:0009656;NT=plasma	run 9	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_A5.raw	PRM_20251218_MarthaReselection_Plate_9_A5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_B5	B	5	CHAPS	17	RB5	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_B5	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	34	Plate_9_B5	MIF_3-0104	not available	1	AC=EFO:0009656;NT=plasma	run 10	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_B5.raw	PRM_20251218_MarthaReselection_Plate_9_B5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_C5	C	5	CHAPS	29	RC5	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_C5	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	35	Plate_9_C5	MIF_3-0105	not available	1	AC=EFO:0009656;NT=plasma	run 11	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_C5.raw	PRM_20251218_MarthaReselection_Plate_9_C5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_D5	D	5	CHAPS	41	RD5	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_D5	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	36	Plate_9_D5	MIF_3-0106	not available	1	AC=EFO:0009656;NT=plasma	run 12	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_D5.raw	PRM_20251218_MarthaReselection_Plate_9_D5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_E5	E	5	CHAPS	53	RE5	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_E5	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	37	Plate_9_E5	MIF_3-0107	not available	1	AC=EFO:0009656;NT=plasma	run 13	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_E5.raw	PRM_20251218_MarthaReselection_Plate_9_E5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
PRM_20251218_MarthaReselection_Plate_9_F5	F	5	CHAPS	65	RF5	0.1	C:\Xcalibur\methods\method1	smb://storage3.ad.scilifelab.se/massstorage/edfors%20lab/	PRM_20251218_MarthaReselection_Plate_9_F5	Homo sapiens	blood plasma	Plate_9	MarthaReselection	not available	not available	NA	not available	not available	not available	not available	38	Plate_9_F5	MIF_3-0108	not available	1	AC=EFO:0009656;NT=plasma	run 14	proteomic profiling by mass spectrometry	PRM_20251218_MarthaReselection_Plate_9_F5.raw	PRM_20251218_MarthaReselection_Plate_9_F5.raw	NT=Parallel Reaction Monitoring;AC=MS:1002956	AC=MS:1002038;NT=label free sample	1	NT=High-performance liquid chromatography;AC=PRIDE:0000565	1	AC=MS:1001251;NT=Trypsin	not available	NT=Stellar;AC=MS:1003409	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Higher-energy Collisional Dissociation;AC=MS:1000422	27 NCE	40 ppm	0.05 Da	CHAPS
